captured_at_utc,run_id,source_url,hour_label,rank,name,name_norm,tweet_count_raw,tweet_count,best_position,total_tweets,trending_for_raw,trending_for_hours
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),1,#MrKillSeriesEP5,mrkillseriesep5,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),2,#12YearsofEXOLove,12yearsofexolove,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),3,BPJS,bpjs,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),4,el clasico indonesia,el clasico indonesia,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),5,#FourthConcert,fourthconcert,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),6,#derbyjawatimur,derbyjawatimur,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),7,L1485 ALWAYS,l1485 always,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),8,Trabzonspor,trabzonspor,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),9,Vietnam,vietnam,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),10,PSD MOGULARRIVAL FS26,psd mogularrival fs26,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),11,PERTHDOMIIA RADIANT GLOW,perthdomiia radiant glow,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),12,FOURTH 1ST SOLO CONCERT,fourth 1st solo concert,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),13,#demopeternakayam,demopeternakayam,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),14,pilar utama kawasan,pilar utama kawasan,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),15,Lila,lila,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),16,Kimpul,kimpul,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),17,Rabu,rabu,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),18,SPIDERMAN WITH NN AC,spiderman with nn ac,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),19,protes pemadaman listrik,protes pemadaman listrik,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),20,Clara,clara,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),21,LPDP,lpdp,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),22,Nadeo,nadeo,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),23,RESPECT JUHOON'S RIGHTS,respect juhoon's rights,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),24,Nakes,nakes,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),25,XL SECEPAT ITU,xl secepat itu,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),26,mengabdi hingga pelosok,mengabdi hingga pelosok,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),27,lawan provokasi buzzer,lawan provokasi buzzer,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),28,mint x phuwin loewe,mint x phuwin loewe,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),29,$TGGW,$tggw,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),30,Love Destiny EP4,love destiny ep4,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),31,blingy action plan d2,blingy action plan d2,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),32,Tinggi,tinggi,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),33,Robert,robert,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),34,Mo Salah,mo salah,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),35,Mohamed Salah,mohamed salah,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),36,Turut,turut,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),37,Singapura,singapura,,,,,,
2026-08-05T00:06:01.284928+00:00,20260805-000601,https://trends24.in/indonesia/,Tue Aug 04 2026 23:24:11 GMT+0000 (Coordinated Universal Time),38,Nobel,nobel,,,,,,
