captured_at_utc,run_id,source_url,hour_label,rank,name,name_norm,tweet_count_raw,tweet_count,best_position,total_tweets,trending_for_raw,trending_for_hours
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),1,#PondPhuwinConcertD2,pondphuwinconcertd2,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),2,#PRAYFORINDONESIA,prayforindonesia,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),3,#PRAYFORKALIMANTAN,prayforkalimantan,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),4,#KUOTASERBA8RIBU,kuotaserba8ribu,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),5,#AllEyesOnIndonesia,alleyesonindonesia,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),6,penanganan situasi darurat,penanganan situasi darurat,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),7,SKYNANI HONGKONG SNIVERSE,skynani hongkong sniverse,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),8,pati cinta damai,pati cinta damai,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),9,Hull City,hull city,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),10,24TH LOVING LEO TENDERLY,24th loving leo tenderly,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),11,Otsuion,otsuion,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),12,Vini,vini,,,,,,
2026-08-22T21:24:12.227313+00:00,20260822-212412,https://trends24.in/indonesia/,Sat Aug 22 2026 21:12:45 GMT+0000 (Coordinated Universal Time),13,$PANTS,$pants,,,,,,
