captured_at_utc,run_id,source_url,hour_label,rank,name,name_norm,tweet_count_raw,tweet_count,best_position,total_tweets,trending_for_raw,trending_for_hours
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),1,#MrKillSeriesEP5,mrkillseriesep5,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),2,#12YearsofEXOLove,12yearsofexolove,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),3,L1485 ALWAYS,l1485 always,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),4,BPJS,bpjs,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),5,Vietnam,vietnam,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),6,El Clasico Indonesia,el clasico indonesia,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),7,#FourthConcert,fourthconcert,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),8,#DerbyJawaTimur,derbyjawatimur,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),9,PERTHDOMIIA RADIANT GLOW,perthdomiia radiant glow,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),10,PSD MOGULARRIVAL FS26,psd mogularrival fs26,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),11,FOURTH 1ST SOLO CONCERT,fourth 1st solo concert,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),12,#demopeternakayam,demopeternakayam,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),13,pilar utama kawasan,pilar utama kawasan,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),14,Kimpul,kimpul,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),15,SPIDERMAN WITH NN AC,spiderman with nn ac,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),16,Love Destiny EP4,love destiny ep4,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),17,Nadeo,nadeo,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),18,protes pemadaman listrik,protes pemadaman listrik,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),19,LPDP,lpdp,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),20,RESPECT JUHOON'S RIGHTS,respect juhoon's rights,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),21,Nakes,nakes,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),22,XL SECEPAT ITU,xl secepat itu,,,,,,
2026-08-04T19:42:03.975666+00:00,20260804-194203,https://trends24.in/indonesia/,Tue Aug 04 2026 19:03:15 GMT+0000 (Coordinated Universal Time),23,Paket Haloskin,paket haloskin,,,,,,
