captured_at_utc,run_id,source_url,hour_label,rank,name,name_norm,tweet_count_raw,tweet_count,best_position,total_tweets,trending_for_raw,trending_for_hours
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),1,#TOKENPLN81RIBU,tokenpln81ribu,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),2,GoPay,gopay,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),3,#SosialismeDanAI,sosialismedanai,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),4,PLN 100rb,pln 100rb,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),5,Agustus,agustus,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),6,produk lokal indonesia,produk lokal indonesia,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),7,#jumatberkahgreensm,jumatberkahgreensm,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),8,#dukungumkm,dukungumkm,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),9,#SFxPondPhuwinPermpoon,sfxpondphuwinpermpoon,,,,,,
2026-08-01T02:57:03.478798+00:00,20260801-025703,https://trends24.in/indonesia/,Sat Aug 01 2026 02:06:23 GMT+0000 (Coordinated Universal Time),10,PPP FAMILY SPIDER MAN,ppp family spider man,,,,,,
