captured_at_utc,run_id,source_url,hour_label,rank,name,name_norm,tweet_count_raw,tweet_count,best_position,total_tweets,trending_for_raw,trending_for_hours
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),1,#AADCShortFilm,aadcshortfilm,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),2,Royco Cinta Dian,royco cinta dian,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),3,#YouManiacSeries,youmaniacseries,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),4,#ARKANA3D,arkana3d,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),5,YOU MANIAC TRAILER,you maniac trailer,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),6,#WEIRDO101SeriesEP1,weirdo101seriesep1,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),7,#MingyuinJKTforDIOR,mingyuinjktfordior,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),8,salurkan hingga pelosok,salurkan hingga pelosok,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),9,Selamat Hari Pramuka,selamat hari pramuka,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),10,SANTA LIP NUDE LIVE,santa lip nude live,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),11,Flores,flores,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),12,Maksimal Melayani Negeri,maksimal melayani negeri,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),13,PONDPHUWIN COKE ZERO,pondphuwin coke zero,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),14,$MOTION,$motion,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),15,Cinta Rangga,cinta rangga,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),16,GoPay Investasi Emas,gopay investasi emas,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),17,jangan rayakan duka,jangan rayakan duka,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),18,bumdes,bumdes,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),19,BMKG,bmkg,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),20,LINGORM ILF EP9,lingorm ilf ep9,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),21,Trade $ANTFUN,trade $antfun,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),22,dewtee live house,dewtee live house,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),23,MR. KILL SERIES PRESS TOUR,mr. kill series press tour,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),24,Gunil,gunil,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),25,harqeel date encore,harqeel date encore,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),26,Makassar,makassar,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),27,Jumat,jumat,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),28,pengabdian pada negeri,pengabdian pada negeri,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),29,Sidang Tahunan MPR RI,sidang tahunan mpr ri,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),30,Sumbawa,sumbawa,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),31,budiman sudjatmiko,budiman sudjatmiko,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),32,NUDE WITH JIMMYSEA,nude with jimmysea,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),33,stop cropping james out,stop cropping james out,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),34,Alhamdulillah,alhamdulillah,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),35,Sidang Bersama DPR RI,sidang bersama dpr ri,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),36,DPD RI,dpd ri,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),37,COUNTLESS LOVE WITH HUENINGKAI,countless love with hueningkai,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),38,OH MY FOURTH PRESS TOUR,oh my fourth press tour,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),39,Labuan Bajo,labuan bajo,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),40,PHUWIN BLACK CARD MV,phuwin black card mv,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),41,18 YEARS OF RORANDERFUL,18 years of roranderful,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),42,Stay Safe,stay safe,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),43,tentara nasional indonesia,tentara nasional indonesia,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),44,Klaim Voucher 100%,klaim voucher 100%,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),45,RUU HAM,ruu ham,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),46,Primogems,primogems,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),47,LUNAR OUR LITTLE POP STAR,lunar our little pop star,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),48,PIL PRESS AND PRAY,pil press and pray,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),49,Jembatan Merah Putih Presisi,jembatan merah putih presisi,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 23:33:27 GMT+0000 (Coordinated Universal Time),50,kelurahan merah putih,kelurahan merah putih,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 22:42:24 GMT+0000 (Coordinated Universal Time),1,#AADCShortFilm,aadcshortfilm,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 22:42:24 GMT+0000 (Coordinated Universal Time),2,Royco Cinta Dian,royco cinta dian,,,,,,
2026-08-15T00:00:22.920332+00:00,20260815-000022,https://trends24.in/indonesia/,Fri Aug 14 2026 22:42:24 GMT+0000 (Coordinated Universal Time),3,#YouManiacSeries,youmaniacseries,,,,,,
